set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
basep,Wizards Black Star Promos,PR,Wizards Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/Wizards_Black_Star_Promos_%28TCG%29,3e106aae-c583-4893-9069-3f158b27bd22,2,Electabuzz,,2,Electabuzz [Pokémon: The First Movie],Wizards Black Star Promos,"Mewtwo Strikes Back theatrical release (November 12, 1999)}",same_set_same_number_different_name
basep,Wizards Black Star Promos,PR,Wizards Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/Wizards_Black_Star_Promos_%28TCG%29,676b6e46-9457-4945-9c5a-4efadb7cef58,3,Mewtwo,,3,Mewtwo [Pokémon: The First Movie],Wizards Black Star Promos,"Mewtwo Strikes Back theatrical release (November 12, 1999)}",same_set_same_number_different_name
basep,Wizards Black Star Promos,PR,Wizards Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/Wizards_Black_Star_Promos_%28TCG%29,21a0ed1b-d86e-48f1-8dc6-adb17391bcc9,4,Pikachu,,4,Pikachu [Pokémon: The First Movie],Wizards Black Star Promos,"Mewtwo Strikes Back theatrical release (November 12, 1999)}",same_set_same_number_different_name
basep,Wizards Black Star Promos,PR,Wizards Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/Wizards_Black_Star_Promos_%28TCG%29,eb57fdeb-8bce-4ba1-b981-9da7b88d33b5,5,Dragonite,,5,Dragonite [Pokémon: The First Movie],Wizards Black Star Promos,"Mewtwo Strikes Back theatrical release (November 12, 1999)}",same_set_same_number_different_name
basep,Wizards Black Star Promos,PR,Wizards Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/Wizards_Black_Star_Promos_%28TCG%29,87618612-6bbc-495e-951f-b87d7dd4c25d,50,Celebi,,50,Celebi [Pokémon 4Ever],Wizards Black Star Promos,"Celebi: The Voice of the Forest theatrical release (October 11, 2002)}",same_set_same_number_different_name
basep,Wizards Black Star Promos,PR,Wizards Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/Wizards_Black_Star_Promos_%28TCG%29,fa309889-7388-4486-98fc-536ecbaad80d,51,Rapidash,,51,Rapidash [Pokémon Center NY],Wizards Black Star Promos,Pokémon Center New York (November 2002),same_set_same_number_different_name
basep,Wizards Black Star Promos,PR,Wizards Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/Wizards_Black_Star_Promos_%28TCG%29,6332dedf-2e09-4c75-a8e8-8143da141080,52,Ho-oh,,52,Ho-Oh [Pokémon Center NY],Wizards Black Star Promos,Pokémon Center New York (November 2002),same_set_same_number_different_name
basep,Wizards Black Star Promos,PR,Wizards Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/Wizards_Black_Star_Promos_%28TCG%29,eeb5358c-ea6c-4ab6-8053-143a9ea7efe4,53,Suicune,,53,Suicune [Pokémon 4Ever],Wizards Black Star Promos,"Celebi: The Voice of the Forest Home video release (March 18, 2003)}",same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,4e714b58-bcf3-4931-9c46-163dadba49b8,1,Electabuzz,,1,Electabuzz [Winner],Best of Game,BattleZone (December 2002)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,4e714b58-bcf3-4931-9c46-163dadba49b8,1,Electabuzz,,1,Electabuzz [Winner] (Jumbo),Best of Game,BattleZone (December 2002)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,cf3b8770-892a-41d8-8a47-647dbb742fee,2,Hitmonchan,,2,Hitmonchan [Winner],Best of Game,BattleZone (February 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,cf3b8770-892a-41d8-8a47-647dbb742fee,2,Hitmonchan,,2,Hitmonchan [Winner] (Jumbo),Best of Game,BattleZone (February 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,8dae8f1d-437f-464c-8415-50f763d1801d,4,Rocket's Scizor,,4,Rocket's Scizor [Winner],Best of Game,BattleZone (March 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,8dae8f1d-437f-464c-8415-50f763d1801d,4,Rocket's Scizor,,4,Rocket's Scizor [Winner] (Jumbo),Best of Game,BattleZone (March 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,53761d11-41ee-4971-a393-67052780eb05,5,Rocket's Sneasel,,5,Rocket's Sneasel [Winner],Best of Game,BattleZone (January 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,53761d11-41ee-4971-a393-67052780eb05,5,Rocket's Sneasel,,5,Rocket's Sneasel [Winner] (Jumbo),Best of Game,BattleZone (January 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,796dfb87-68c7-43bb-b61f-153d40a64cf4,6,Dark Ivysaur,,6,Dark Ivysaur [Winner],Best of Game,BattleZone (April 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,796dfb87-68c7-43bb-b61f-153d40a64cf4,6,Dark Ivysaur,,6,Dark Ivysaur [Winner] (Jumbo),Best of Game,BattleZone (April 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,03a8bb19-b9c2-42df-b18c-1671746030ab,7,Dark Venusaur,,7,Dark Venusaur [Winner],Best of Game,BattleZone (May 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,03a8bb19-b9c2-42df-b18c-1671746030ab,7,Dark Venusaur,,7,Dark Venusaur [Winner] (Jumbo),Best of Game,BattleZone (May 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,371e2c1c-4a18-4961-b2a3-8d01edc07e90,8,Rocket's Mewtwo,,8,Rocket's Mewtwo [Winner],Best of Game,BattleZone (June 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,371e2c1c-4a18-4961-b2a3-8d01edc07e90,8,Rocket's Mewtwo,,8,Rocket's Mewtwo [Winner] (Jumbo),Best of Game,BattleZone (June 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,acf3e7a7-5f8d-43d2-ad5c-972db7568be7,9,Rocket's Hitmonchan,,9,Rocket's Hitmonchan [Winner],Best of Game,BattleZone (July 2003)},same_set_same_number_different_name
bp,Best of Game,BP,Best of Game,https://bulbapedia.bulbagarden.net/wiki/Best_of_Game_%28TCG%29,acf3e7a7-5f8d-43d2-ad5c-972db7568be7,9,Rocket's Hitmonchan,,9,Rocket's Hitmonchan [Winner] (Jumbo),Best of Game,BattleZone (July 2003)},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,ed70b926-0713-46d7-bd0c-0a2cb00fde87,BW13,Minccino,,BW13,Minccino [Cosmos Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,ed70b926-0713-46d7-bd0c-0a2cb00fde87,BW13,Minccino,,BW13,Minccino [Cracked Ice Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,b4e7b7f6-1853-46b2-a2c1-314c972a9dab,BW25,Scraggy,,BW25,Scraggy [Cosmos Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,b4e7b7f6-1853-46b2-a2c1-314c972a9dab,BW25,Scraggy,,BW25,Scraggy [Cracked Ice Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,6456900b-a84d-49fa-966c-410df887309b,BW28,Tropical Beach,,BW28,Tropical Beach [Top Thirty-Two],BW Black Star Promos,2011 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,6456900b-a84d-49fa-966c-410df887309b,BW28,Tropical Beach,,BW28,Tropical Beach [Top Sixteen],BW Black Star Promos,2011 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,6456900b-a84d-49fa-966c-410df887309b,BW28,Tropical Beach,,BW28,Tropical Beach [Quarter Finalist],BW Black Star Promos,2011 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,6456900b-a84d-49fa-966c-410df887309b,BW28,Tropical Beach,,BW28,Tropical Beach [Semi-Finalist],BW Black Star Promos,2011 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,6456900b-a84d-49fa-966c-410df887309b,BW28,Tropical Beach,,BW28,Tropical Beach [Finalist],BW Black Star Promos,2011 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,db6d8a1f-4a1d-43c4-9f7d-f4f104920cd0,BW29,Victory Cup,,BW29,Victory Cup [Autumn 2011 stamp],BW Black Star Promos,Battle Road Autumn 2011 third place prize,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,db6d8a1f-4a1d-43c4-9f7d-f4f104920cd0,BW29,Victory Cup,,BW29,Victory Cup [Spring 2012 stamp],BW Black Star Promos,Battle Road Spring 2012 third place prize,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,db6d8a1f-4a1d-43c4-9f7d-f4f104920cd0,BW29,Victory Cup,,BW29,Victory Cup [Autumn 2012 stamp],BW Black Star Promos,Battle Road Autumn 2012 third place prize,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,db6d8a1f-4a1d-43c4-9f7d-f4f104920cd0,BW29,Victory Cup,,BW29,Victory Cup [Spring 2013 stamp],BW Black Star Promos,Battle Road Spring 2013 third place prize},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,3329c20b-4a1c-438d-b34c-56c7eb157b5f,BW30,Victory Cup,,BW30,Victory Cup [Autumn 2011 stamp],BW Black Star Promos,Battle Road Autumn 2011 second place prize,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,3329c20b-4a1c-438d-b34c-56c7eb157b5f,BW30,Victory Cup,,BW30,Victory Cup [Spring 2012 stamp],BW Black Star Promos,Battle Road Spring 2012 second place prize,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,3329c20b-4a1c-438d-b34c-56c7eb157b5f,BW30,Victory Cup,,BW30,Victory Cup [Autumn 2012 stamp],BW Black Star Promos,Battle Road Autumn 2012 second place prize,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,3329c20b-4a1c-438d-b34c-56c7eb157b5f,BW30,Victory Cup,,BW30,Victory Cup [Spring 2013 stamp],BW Black Star Promos,Battle Road Spring 2013 second place prize},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,644215b9-ff1a-480f-9ed6-8548a47c92da,BW31,Victory Cup,,BW31,Victory Cup [Autumn 2011 stamp],BW Black Star Promos,Battle Road Autumn 2011 first place prize,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,644215b9-ff1a-480f-9ed6-8548a47c92da,BW31,Victory Cup,,BW31,Victory Cup [Spring 2012 stamp],BW Black Star Promos,Battle Road Spring 2012 first place prize,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,644215b9-ff1a-480f-9ed6-8548a47c92da,BW31,Victory Cup,,BW31,Victory Cup [Autumn 2012 stamp],BW Black Star Promos,Battle Road Autumn 2012 first place prize,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,644215b9-ff1a-480f-9ed6-8548a47c92da,BW31,Victory Cup,,BW31,Victory Cup [Spring 2013 stamp],BW Black Star Promos,Battle Road Spring 2013 first place prize},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,98b318cc-75c4-4893-821d-064b165a621d,BW33,Riolu,,BW33,Riolu [Cosmos Holo],BW Black Star Promos,,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,98b318cc-75c4-4893-821d-064b165a621d,BW33,Riolu,,BW33,Riolu [Non Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,7d2a2ef3-947f-45e1-b131-f187756d25bd,BW34,Luxio,,BW34,Luxio [Cosmos Holo],BW Black Star Promos,Next Destinies Three Pack Blisters,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,7d2a2ef3-947f-45e1-b131-f187756d25bd,BW34,Luxio,,BW34,Luxio [Cracked Ice Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,53f84981-d0d3-4a71-a33c-9c3d4fbe239c,BW50,Tropical Beach,,BW50,Tropical Beach [Top Thirty-Two],BW Black Star Promos,2012 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,53f84981-d0d3-4a71-a33c-9c3d4fbe239c,BW50,Tropical Beach,,BW50,Tropical Beach [Top Sixteen],BW Black Star Promos,2012 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,53f84981-d0d3-4a71-a33c-9c3d4fbe239c,BW50,Tropical Beach,,BW50,Tropical Beach [Quarter Finalist],BW Black Star Promos,2012 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,53f84981-d0d3-4a71-a33c-9c3d4fbe239c,BW50,Tropical Beach,,BW50,Tropical Beach [Semi-Finalist],BW Black Star Promos,2012 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,53f84981-d0d3-4a71-a33c-9c3d4fbe239c,BW50,Tropical Beach,,BW50,Tropical Beach [Finalist],BW Black Star Promos,2012 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,53f84981-d0d3-4a71-a33c-9c3d4fbe239c,BW50,Tropical Beach,,BW50,Tropical Beach [Champion],BW Black Star Promos,2012 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,b6127054-d474-4fc9-9737-b51984ce9c4d,BW60,Keldeo,,BW60,Keldeo [Tinsel Holo],BW Black Star Promos,,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,b6127054-d474-4fc9-9737-b51984ce9c4d,BW60,Keldeo,,BW60,Keldeo [Non Holo],BW Black Star Promos,Kyurem VS. The Sword of Justice DVD release},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,34c4b426-aac9-44f7-aed3-5e7de4dfef33,BW64,Drifblim,,BW64,Drifblim [Pixel Cosmos Holo],BW Black Star Promos,,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,34c4b426-aac9-44f7-aed3-5e7de4dfef33,BW64,Drifblim,,BW64,Drifblim [Smooth Cosmos Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,01d782d8-dbb2-42c3-8ca5-88a300a9a9fa,BW66,Ninetales,,BW66,Ninetales [Pixel Cosmos Holo],BW Black Star Promos,,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,01d782d8-dbb2-42c3-8ca5-88a300a9a9fa,BW66,Ninetales,,BW66,Ninetales [Smooth Cosmos Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,3337bbb5-8a84-488f-96c6-603b919bd9d6,BW67,Ampharos,,BW67,Ampharos [Pixel Cosmos Holo],BW Black Star Promos,,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,3337bbb5-8a84-488f-96c6-603b919bd9d6,BW67,Ampharos,,BW67,Ampharos [Smooth Cosmos Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,84496d25-7a45-418d-bf89-3a2ccbf1ca5d,BW77,Pikachu,,BW77,Pikachu [Never issued],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,fd31ee16-1137-4702-ab97-1585780f1359,BW78,Raichu,,BW78,Raichu [Never issued],BW Black Star Promos,Plasma Freeze Three Pack Blisters},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,d9860202-8d65-4e9c-92d0-9d74e94b5f36,BW80,Druddigon,,BW80,Druddigon [Cosmos Holo],BW Black Star Promos,Plasma Freeze Three Pack Blisters,same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,d9860202-8d65-4e9c-92d0-9d74e94b5f36,BW80,Druddigon,,BW80,Druddigon [Tinsel Holo],BW Black Star Promos,},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,9b38b12d-7d50-45ff-8bab-aa409a4779a7,BW95,Champions Festival,,BW95,Champions Festival [Top Thirty-Two],BW Black Star Promos,2013 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,9b38b12d-7d50-45ff-8bab-aa409a4779a7,BW95,Champions Festival,,BW95,Champions Festival [Top Sixteen],BW Black Star Promos,2013 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,9b38b12d-7d50-45ff-8bab-aa409a4779a7,BW95,Champions Festival,,BW95,Champions Festival [Quarter Finalist],BW Black Star Promos,2013 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,9b38b12d-7d50-45ff-8bab-aa409a4779a7,BW95,Champions Festival,,BW95,Champions Festival [Semi-Finalist],BW Black Star Promos,2013 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,9b38b12d-7d50-45ff-8bab-aa409a4779a7,BW95,Champions Festival,,BW95,Champions Festival [Finalist],BW Black Star Promos,2013 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,9b38b12d-7d50-45ff-8bab-aa409a4779a7,BW95,Champions Festival,,BW95,Champions Festival [Champion],BW Black Star Promos,2013 World Championships},same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,d272677e-a100-47fd-8aac-4f9488e99db5,BW100,N,,BW100,N [Mirror Holo],BW Black Star Promos,Pokémon League (Fennekin Season; 2013-2014 Cycle),same_set_same_number_different_name
bwp,BW Black Star Promos,PR-BLW,BW Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/BW_Black_Star_Promos_%28TCG%29,d272677e-a100-47fd-8aac-4f9488e99db5,BW100,N,,BW100,N [Non Holo],BW Black Star Promos,Battle Arena Decks: Rayquaza vs. Keldeo},same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,d6294823-1b9a-4cfb-a792-00339e238d33,DP05,Tropical Wind,,DP05,Tropical Wind [Top Thirty-Two],DP Black Star Promos,2007 World Championships},same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,d6294823-1b9a-4cfb-a792-00339e238d33,DP05,Tropical Wind,,DP05,Tropical Wind [Top Sixteen],DP Black Star Promos,2007 World Championships},same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,d6294823-1b9a-4cfb-a792-00339e238d33,DP05,Tropical Wind,,DP05,Tropical Wind [Quarter-Finalist],DP Black Star Promos,2007 World Championships},same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,d6294823-1b9a-4cfb-a792-00339e238d33,DP05,Tropical Wind,,DP05,Tropical Wind [Semi-Finalist],DP Black Star Promos,2007 World Championships},same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,d6294823-1b9a-4cfb-a792-00339e238d33,DP05,Tropical Wind,,DP05,Tropical Wind [Finalist],DP Black Star Promos,2007 World Championships},same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,3ae68a55-17eb-4259-96b0-c188e0a47ee0,DP24,Darkrai,,DP24,Darkrai [holo],DP Black Star Promos,,same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,3ae68a55-17eb-4259-96b0-c188e0a47ee0,DP24,Darkrai,,DP24,Darkrai [non-holo],DP Black Star Promos,European The Rise of Darkrai DVD insert (September 2008)},same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,6611c72d-5fcb-4253-813f-766b25f2184d,DP25,Tropical Wind,,DP25,Tropical Wind [Top Thirty-Two],DP Black Star Promos,2008 World Championships },same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,6611c72d-5fcb-4253-813f-766b25f2184d,DP25,Tropical Wind,,DP25,Tropical Wind [Top Sixteen],DP Black Star Promos,2008 World Championships },same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,6611c72d-5fcb-4253-813f-766b25f2184d,DP25,Tropical Wind,,DP25,Tropical Wind [Quarter-Finalist],DP Black Star Promos,2008 World Championships },same_set_same_number_different_name
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,6611c72d-5fcb-4253-813f-766b25f2184d,DP25,Tropical Wind,,DP25,Tropical Wind [Semi-Finalist],DP Black Star Promos,2008 World Championships },same_set_same_number_different_name
